flow_id,time,flow_size,flow_qos,source_id,destination_id
0,0.00151652890534647,6810.98055608014,none,1,7
1,0.00182256235788369,7966.66302067084,none,1,7
2,0.00450907938181682,5703.22381241824,none,1,8
3,0.00757945957250986,2474.15378917295,none,1,4
4,0.0110123202944599,2095.23228618993,none,1,3
5,0.0116222365919094,9132.8792589961,none,1,3
6,0.0213488014846208,7328.41661146978,none,1,3
7,0.0234713551352239,18745.6012256841,none,1,7
8,0.0278323109997514,8096.67622609254,none,1,5
9,0.0294483840051362,5416.55749247754,none,1,5
10,0.0303849400061944,2909.90440501675,none,1,2
11,0.0304742126958511,12807.034241653,none,1,8
12,0.0315250605969265,8902.6154497821,none,1,3
13,0.0327486286802618,1867.4653233282,none,1,8
14,0.0347997690030741,2051.11901447865,none,1,6
15,0.0349730515189198,5957.45799180937,none,1,6
16,0.0355574354141815,6640.00834569315,none,1,2
17,0.0397070779467752,7842.50207819854,none,1,3
18,0.0419173002487229,3767.6921188144,none,1,6
19,0.0424336929552926,2791.86874114985,none,1,6
20,0.0438892128860078,2715.52744613209,none,1,4
21,0.0456133321825413,5282.56610150979,none,1,5
22,0.0493427601794654,1092.79233282994,none,1,6
23,0.0493907813258405,1278.33435838814,none,1,7
24,0.0499233119829609,10954.3464610124,none,1,7
25,0.0511076668923211,4835.55841221401,none,1,6
26,0.051574550050247,9208.69914446006,none,1,8
27,0.0530390249732736,8341.03468530562,none,1,7
28,0.0555811514921212,5042.56656560349,none,1,6
29,0.0556147948723187,3508.12852929542,none,1,8
30,0.0594054420628361,5816.0143889845,none,1,5
31,0.0603981490182424,8300.640316226,none,1,7
32,0.0624203942356353,5661.82252640255,none,1,4
33,0.0625471933402954,4874.25757857278,none,1,5
34,0.0631370391173235,3301.09823257235,none,1,3
35,0.0640827540461092,1412.52865227292,none,1,5
36,0.0650598952854381,2232.03816789686,none,1,4
37,0.0676124055582183,2463.70996908844,none,1,2
38,0.0693218732674581,7517.6374790684,none,1,3
39,0.0729983016230739,2928.14686372358,none,1,2
40,0.0750287273047571,1533.50612087266,none,1,3
41,0.0764280531310823,8371.26860590917,none,1,7
42,0.0770780712177833,18655.4707934402,none,1,6
43,0.0772598761295513,4542.57158911809,none,1,7
44,0.0783768145222482,6638.01654360234,none,1,2
45,0.0818313974224835,5800.36544136437,none,1,4
46,0.0827001315926821,8400.79830629201,none,1,5
47,0.0893361178831606,4721.49743303924,none,1,5
48,0.0902501516795615,1155.51809964776,none,1,8
49,0.0909124151942121,2014.36788746057,none,1,4
50,0.0914539341438975,1056.08965166793,none,1,6
51,0.0923027430807878,42.3007570816824,none,1,7
52,0.0936249637797643,4740.14335281229,none,1,5
53,0.0968590170066621,1750.51588775531,none,1,7
54,0.098276306943101,2476.90382125834,none,1,2
55,0.0989406306369741,5476.82375254124,none,1,5
56,0.105278075037429,3203.26528376128,none,1,7
57,0.107498237542781,11076.3010033796,none,1,7
58,0.108151804160993,9547.65338328562,none,1,6
59,0.108511267027269,8850900.11947963,none,1,5
60,0.110213295024648,5759.07149463793,none,1,2
61,0.115755224420174,1523.40739389626,none,1,8
62,0.116097338456982,6958.57178936807,none,1,8
63,0.123160708148922,1897.85325195644,none,1,7
64,0.125516710429083,9567.12795136336,none,1,4
65,0.127456272261354,4658.60011613612,none,1,8
66,0.12853684124053,13206.3645545513,none,1,8
67,0.134268297349083,1717.36316583127,none,1,8
68,0.135272281233072,5296.98765379616,none,1,2
69,0.135406131193317,17283.4015325029,none,1,5
70,0.13606727046469,5038.75759263218,none,1,3
71,0.137909518793601,4072136.71561367,none,1,6
72,0.139628692745967,9266.17511114564,none,1,4
73,0.14062222822317,664.950363002194,none,1,6
74,0.148165909732609,7869.35657439842,none,1,4
75,0.148673432072678,1776.58156421688,none,1,6
76,0.15010424049821,5859.1497677257,none,1,5
77,0.150693332249843,3458.76801600651,none,1,3
78,0.151050900071301,1198.29754150384,none,1,2
79,0.153386482870562,262.717708650501,none,1,4
80,0.161344339994737,7657.30302143499,none,1,8
81,0.162868387092313,1994.18916986291,none,1,6
82,0.164603897272999,1445.76007286622,none,1,3
83,0.164665928316774,6669.78286703635,none,1,7
84,0.164698860800982,4443.38203510243,none,1,2
85,0.166775206636749,2263.65782352357,none,1,8
86,0.167448079707823,6702.21866413561,none,1,8
87,0.172082418827728,7141.91964918332,none,1,7
88,0.17231497894602,8657.22968877732,none,1,6
89,0.172930207790934,7707.96727256605,none,1,8
90,0.17338219483638,5700.74931518378,none,1,5
91,0.174856185980968,1743.89837580772,none,1,6
92,0.174997072205365,6211.83816276709,none,1,7
93,0.176111148766229,3608.79671697314,none,1,8
94,0.176288610461304,6717.67752651114,none,1,7
95,0.177139076260454,1260.53412038202,none,1,5
96,0.181231687009163,2084.65289133729,none,1,7
97,0.182438935336413,7246.86941909122,none,1,5
98,0.183198339418865,16049.3320036893,none,1,4
99,0.186726117928425,4872.49705789173,none,1,4
100,0.187357891850614,40.649991960964,none,1,3
101,0.187824440209778,3783.38462084689,none,1,2
102,0.189217909845501,1284597.22359601,none,1,6
103,0.191061711023395,3425.12433824045,none,1,7
104,0.193535822471179,4058.83689044976,none,1,7
105,0.194398339422618,9548.91141077589,none,1,3
106,0.194661589450345,2700.95887931936,none,1,2
107,0.19572918071753,2542.58801209734,none,1,8
108,0.19649558818644,6174.74160613925,none,1,8
109,0.203237546555594,3002.01961412665,none,1,6
110,0.203616751953306,941.291171661603,none,1,2
111,0.204883304147027,2072.66461629508,none,1,5
112,0.204957939424742,8906.6127889618,none,1,2
113,0.206654534123558,385825.891277905,none,1,5
114,0.209379678163029,4071.17697277487,none,1,2
115,0.216219041294387,4810.43235833558,none,1,4
116,0.22154767957724,2681.69182617623,none,1,4
117,0.221614516441361,5042.83950813532,none,1,2
118,0.223795775681433,10084.728230683,none,1,6
119,0.226313582868733,4260.55943513019,none,1,3
120,0.227139614408288,2332.89563927999,none,1,7
121,0.228475132680905,3971.4673853239,none,1,4
122,0.229232517919605,16119.8336641908,none,1,7
123,0.234871130614806,1142.49012526023,none,1,6
124,0.237896038211538,73.4747191617895,none,1,3
125,0.239641860957724,1306899.29217236,none,1,5
